,Day,Month,Year,Hour,Demand (kWh)
117,1,May,2018,17,50.66375400490651
118,1,May,2018,18,53.03178039268746
119,1,May,2018,19,50.35185490713278
120,1,May,2018,20,38.7354522898944
121,1,May,2018,21,33.702216130379426
122,1,May,2018,22,28.901403907306328
123,1,May,2018,23,20.381095067370662
124,2,May,2018,0,32.30863858671728
125,2,May,2018,1,24.448857529885665
126,2,May,2018,2,10.906443825808978
127,2,May,2018,3,24.682764079121423
128,2,May,2018,4,20.66550876536555
129,2,May,2018,5,22.646510455989766
130,2,May,2018,6,15.387926621912627
131,2,May,2018,7,8.983446541673507
132,2,May,2018,8,4.683153812614664
133,2,May,2018,9,4.132676634191428
134,2,May,2018,10,4.132676634191428
135,2,May,2018,11,4.132676634191428
136,2,May,2018,12,4.132676634191428
137,2,May,2018,13,3.229122131821759
138,2,May,2018,14,5.119585305605325
139,2,May,2018,15,10.212289725469091
140,2,May,2018,16,28.585472926799326
141,2,May,2018,17,52.09308242652678
142,2,May,2018,18,56.752325937463
143,2,May,2018,19,37.625248536997596
144,2,May,2018,20,27.161550488234393
145,2,May,2018,21,28.57444565131835
146,2,May,2018,22,27.451598217761223
147,2,May,2018,23,26.372321896147973
148,3,May,2018,0,27.637005218832172
149,3,May,2018,1,24.71449501188446
150,3,May,2018,2,21.00708410588659
151,3,May,2018,3,35.22354725608207
152,3,May,2018,4,22.495213838732536
153,3,May,2018,5,27.695037633420128
154,3,May,2018,6,18.964511174279412
155,3,May,2018,7,6.114593809321325
156,3,May,2018,8,3.335181058495822
157,3,May,2018,9,3.335181058495822
158,3,May,2018,10,3.335181058495822
159,3,May,2018,11,3.335181058495822
160,3,May,2018,12,4.7894667727815365
161,3,May,2018,13,4.056652407481103
162,3,May,2018,14,6.822667350436655
163,3,May,2018,15,14.609808284443064
164,3,May,2018,16,38.8012646280315
165,3,May,2018,17,54.83388391729374
166,3,May,2018,18,51.42261955019472
167,3,May,2018,19,41.5942939333531
168,3,May,2018,20,35.086555203553374
169,3,May,2018,21,31.900182710843804
170,3,May,2018,22,25.530472804611332
171,3,May,2018,23,32.904920154554
172,4,May,2018,0,20.134423533003737
173,4,May,2018,1,15.582766038010174
174,4,May,2018,2,19.105067545043767
175,4,May,2018,3,23.708233574629293
176,4,May,2018,4,25.40087959364593
177,4,May,2018,5,21.128664115126046
178,4,May,2018,6,12.192878966918164
179,4,May,2018,7,4.365936278853555
180,4,May,2018,8,2.3294145397231203
181,4,May,2018,9,2.3294145397231203
182,4,May,2018,10,2.3294145397231203
183,4,May,2018,11,2.3294145397231203
184,4,May,2018,12,3.0853494234440504
185,4,May,2018,13,8.54913546995568
186,4,May,2018,14,9.140025880914584
187,4,May,2018,15,11.918801145380357
188,4,May,2018,16,35.002448285925546
189,4,May,2018,17,58.60418212100424
190,4,May,2018,18,57.63463097227151
191,4,May,2018,19,52.84469588614282
192,4,May,2018,20,47.02533699310563
193,4,May,2018,21,41.54574922900465
194,4,May,2018,22,38.495363468751606
195,4,May,2018,23,26.401773319976215
196,5,May,2018,0,29.130158989959604
197,5,May,2018,1,20.002777308367733
198,5,May,2018,2,29.447415258234283
199,5,May,2018,3,38.42290305416971
200,5,May,2018,4,45.537683029973444
201,5,May,2018,5,33.625446744983535
202,5,May,2018,6,18.82336293813046
203,5,May,2018,7,22.330058194658285
204,5,May,2018,8,22.43985449095458
205,5,May,2018,9,22.43985449095458
206,5,May,2018,10,17.26665913006469
207,5,May,2018,11,12.471803675634149
208,5,May,2018,12,13.554454278043787
209,5,May,2018,13,14.349585917645673
210,5,May,2018,14,1.2911209508779253
211,5,May,2018,15,7.943855467482499
212,5,May,2018,16,26.08515374075699
213,5,May,2018,17,20.427544997098376
214,5,May,2018,18,21.77541979747182
215,5,May,2018,19,22.515337397577284
216,5,May,2018,20,24.017544863433045
217,5,May,2018,21,31.534962222979004
218,5,May,2018,22,34.61764869764974
219,5,May,2018,23,35.75939436289879
220,6,May,2018,0,9.515658268437932
221,6,May,2018,1,7.766393090007129
222,6,May,2018,2,8.156010484186709
223,6,May,2018,3,18.60972795073799
224,6,May,2018,4,15.72649409327198
225,6,May,2018,5,13.767119695891866
226,6,May,2018,6,4.76904215532786
227,6,May,2018,7,3.7440744433366575
228,6,May,2018,8,1.5781920903954816
229,6,May,2018,9,1.8982736803536406
230,6,May,2018,10,6.058005091898856
231,6,May,2018,11,6.8900656979594626
232,6,May,2018,12,6.8900656979594626
233,6,May,2018,13,6.8900656979594626
234,6,May,2018,14,3.62125617414994
235,6,May,2018,15,2.508692425281106
236,6,May,2018,16,2.6346821902856092
237,6,May,2018,17,14.461696357028073
238,6,May,2018,18,20.954884341458975
239,6,May,2018,19,16.14867225767085
240,6,May,2018,20,12.616253962216305
241,6,May,2018,21,7.132829719792062
242,6,May,2018,22,2.547502092050209
243,6,May,2018,23,6.259342342342342
244,7,May,2018,0,30.728286048211128
245,7,May,2018,1,24.664755381180235
246,7,May,2018,2,33.65103841695811
247,7,May,2018,3,40.554458532580895
248,7,May,2018,4,31.844013787772095
249,7,May,2018,5,13.815854953762589
250,7,May,2018,6,4.23477478800171
251,7,May,2018,7,4.82376090356844
252,7,May,2018,8,1.6031933360008739
253,7,May,2018,9,1.1589771197846577
254,7,May,2018,10,1.1589771197846577
255,7,May,2018,11,1.1589771197846577
256,7,May,2018,12,1.539781074712375
257,7,May,2018,13,3.89048061602973
258,7,May,2018,14,6.184045833421034
259,7,May,2018,15,16.730001528069835
260,7,May,2018,16,59.98363459699025
261,7,May,2018,17,30.32281076507113
262,7,May,2018,18,30.32281076507113
263,7,May,2018,19,30.32281076507113
264,7,May,2018,20,30.32281076507113
265,7,May,2018,21,37.47363422412786
266,7,May,2018,22,54.16979632506315
267,7,May,2018,23,43.04082700512772
268,8,May,2018,0,23.1989922815614
269,8,May,2018,1,23.620224868957415
270,8,May,2018,2,29.078977041854102
271,8,May,2018,3,31.44748933356086
272,8,May,2018,4,24.21424061549188
273,8,May,2018,5,27.93930284527675
274,8,May,2018,6,34.42881871977359
275,8,May,2018,7,28.251293412477857
276,8,May,2018,8,16.411707354772307
277,8,May,2018,9,7.817927080542841
278,8,May,2018,10,3.031903017649209
279,8,May,2018,11,2.6940149057610974
280,8,May,2018,12,3.0793692952728664
281,8,May,2018,13,8.22817172378882
282,8,May,2018,14,10.333138967656065
283,8,May,2018,15,22.32220662767689
284,8,May,2018,16,35.38730950782893
285,8,May,2018,17,54.765616743531425
286,8,May,2018,18,51.05840696120805
287,8,May,2018,19,40.439058652012505
288,8,May,2018,20,29.858328777850257
289,8,May,2018,21,28.010160521463412
290,8,May,2018,22,21.846530142831774
291,8,May,2018,23,20.459946503230643
292,9,May,2018,0,22.78011165182081
293,9,May,2018,1,19.35172576544859
294,9,May,2018,2,18.337254621450352
295,9,May,2018,3,24.77480393360547
296,9,May,2018,4,22.345062469047853
297,9,May,2018,5,19.879616344081843
